SK_ID_CURR,TARGET
100001,0.1075
100005,0.185
100013,0.1025
100028,0.1375
100038,0.195
100042,0.1475
100057,0.1
100065,0.165
100066,0.1
100067,0.205
100074,0.175
100090,0.17
100091,0.1675
100092,0.205
100106,0.1625
100107,0.24
100109,0.1425
100117,0.185
100128,0.2125
100141,0.17
100150,0.0775
100168,0.145
100169,0.1525
100170,0.11
100171,0.1125
100172,0.195
100184,0.155
100187,0.17
100212,0.225
100222,0.1625
100223,0.1375
100232,0.115
100241,0.1875
100245,0.13
100253,0.15
100256,0.1775
100271,0.135
100278,0.2875
100280,0.125
100306,0.23
100311,0.24
100312,0.1525
100330,0.215
100331,0.125
100352,0.185
100358,0.1675
100367,0.1225
100382,0.2125
100384,0.1225
100385,0.1875
100386,0.1975
100399,0.1075
100404,0.21
100416,0.12
100422,0.215
100426,0.1225
100438,0.1375
100444,0.255
100445,0.145
100446,0.1825
100447,0.1275
100450,0.1725
100466,0.115
100483,0.1125
100484,0.1375
100494,0.17
100510,0.2325
100512,0.205
100517,0.12
100548,0.14
100551,0.165
100552,0.1975
100553,0.1375
100561,0.155
100568,0.33
100569,0.1125
100591,0.1875
100592,0.11
100602,0.1675
100607,0.115
100613,0.1925
100617,0.2075
100618,0.2
100622,0.18
100625,0.1825
100677,0.225
100699,0.1
100702,0.35
100711,0.1825
100729,0.1825
100740,0.1825
100744,0.235
100745,0.1975
100747,0.1725
100751,0.2925
100752,0.235
100753,0.2925
100754,0.195
100760,0.1275
100762,0.1625
100763,0.16
100765,0.1075
100770,0.1825
100772,0.1
100777,0.0975
100791,0.08
100792,0.09
100797,0.105
100823,0.145
100826,0.1575
100830,0.1525
100836,0.33
100872,0.185
100910,0.1325
100913,0.2425
100918,0.18
100931,0.0775
100952,0.1375
100953,0.18
100965,0.23
100970,0.1575
100982,0.2225
100983,0.27
100984,0.135
100987,0.125
100997,0.135
100998,0.205
101002,0.1725
101005,0.2625
101008,0.225
101020,0.15
101021,0.1525
101024,0.2675
101025,0.225
101026,0.1475
101031,0.14
101041,0.1075
101051,0.085
101055,0.195
101056,0.3625
101057,0.11
101064,0.155
101079,0.1875
101087,0.125
101090,0.1625
101092,0.1875
101097,0.1925
101099,0.0975
101107,0.2275
101118,0.1725
101125,0.15
101126,0.0575
101128,0.1425
101136,0.215
101140,0.23
101149,0.19
101160,0.1575
101169,0.28
101181,0.18
101186,0.11
101190,0.2075
101193,0.195
101194,0.1975
101198,0.19
101200,0.1075
101204,0.11
101211,0.19
101213,0.1675
101223,0.115
101225,0.1575
101237,0.2325
101243,0.1675
101244,0.2675
101258,0.1625
101259,0.2725
101268,0.1875
101269,0.125
101271,0.2175
101279,0.135
101281,0.2525
101287,0.1
101292,0.15
101294,0.14
101296,0.19
101297,0.0875
101299,0.1775
101301,0.13
101305,0.2125
101308,0.1875
101318,0.0825
101327,0.2575
101329,0.085
101332,0.1875
101337,0.1825
101343,0.105
101345,0.1075
101346,0.06
101353,0.0775
101354,0.16
101355,0.26
101356,0.085
101362,0.1525
101363,0.205
101365,0.1
101366,0.235
101367,0.2275
101368,0.0625
101374,0.1575
101380,0.08
101383,0.1325
101398,0.13
101399,0.28
101401,0.185
101412,0.15
101426,0.155
101427,0.3825
101428,0.33
101429,0.235
101434,0.1325
101440,0.1825
101448,0.175
101449,0.1325
101465,0.165
101467,0.14
101472,0.2025
101478,0.2175
101497,0.1875
101504,0.18
101547,0.1525
101548,0.2
101555,0.2175
101570,0.12
101572,0.175
101578,0.2425
101580,0.2625
101588,0.2675
101602,0.1275
101610,0.2775
101614,0.175
101616,0.1625
101643,0.17
101644,0.1575
101649,0.205
101650,0.165
101665,0.1
101667,0.195
101669,0.1425
101674,0.1775
101675,0.0975
101678,0.1825
101682,0.1575
101686,0.1725
101697,0.3475
101700,0.33
101711,0.135
101714,0.13
101715,0.2975
101728,0.1725
101732,0.175
101757,0.255
101758,0.12
101759,0.14
101762,0.1
101764,0.1125
101780,0.3
101784,0.0925
101789,0.1
101816,0.17
101819,0.1275
101827,0.0975
101863,0.1675
101867,0.1725
101870,0.13
101873,0.285
101878,0.2175
101879,0.2075
101880,0.105
101887,0.1625
101897,0.17
101901,0.15
101903,0.295
101920,0.125
101921,0.125
101922,0.23
101961,0.22
101962,0.1425
101971,0.1575
101976,0.235
102002,0.195
102005,0.105
102007,0.33
102017,0.09
102019,0.3025
102029,0.075
102051,0.27
102052,0.0875
102054,0.1
102062,0.1575
102067,0.28
102068,0.195
102070,0.1425
102090,0.1825
102092,0.145
102099,0.1775
102100,0.1475
102112,0.1475
102113,0.15
102122,0.3075
102123,0.18
102125,0.1625
102126,0.29
102146,0.1575
102147,0.2225
102151,0.14
102158,0.1825
102159,0.105
102162,0.17
102165,0.11
102166,0.1325
102174,0.14
102193,0.235
102198,0.13
102205,0.185
102206,0.1125
102218,0.0925
102221,0.125
102230,0.115
102238,0.12
102248,0.145
102252,0.315
102259,0.195
102262,0.2025
102273,0.17
102286,0.2275
102293,0.0925
102294,0.0975
102296,0.11
102298,0.1325
102303,0.1075
102309,0.1825
102315,0.1275
102340,0.14
102342,0.205
102344,0.175
102346,0.16
102347,0.18
102374,0.2275
102380,0.14
102387,0.19
102393,0.1275
102403,0.1175
102413,0.1525
102414,0.0925
102415,0.11
102416,0.1375
102439,0.1675
102441,0.1225
102443,0.115
102444,0.22
102445,0.22
102448,0.105
102449,0.16
102450,0.2975
102456,0.1125
102458,0.1325
102459,0.15
