SK_ID_CURR,TARGET
100001,0.202
100005,0.274
100013,0.236
100028,0.182
100038,0.292
100042,0.232
100057,0.146
100065,0.194
100066,0.174
100067,0.27
100074,0.224
100090,0.212
100091,0.288
100092,0.294
100106,0.198
100107,0.246
100109,0.254
100117,0.17
100128,0.224
100141,0.23
100150,0.162
100168,0.216
100169,0.186
100170,0.204
100171,0.266
100172,0.294
100184,0.218
100187,0.26
100212,0.234
100222,0.256
100223,0.226
100232,0.196
100241,0.328
100245,0.19
100253,0.202
100256,0.24
100271,0.186
100278,0.352
100280,0.202
100306,0.298
100311,0.31
100312,0.182
100330,0.266
100331,0.206
100352,0.246
100358,0.224
100367,0.202
100382,0.294
100384,0.2
100385,0.27
100386,0.208
100399,0.186
100404,0.278
100416,0.196
100422,0.296
100426,0.21
100438,0.22
100444,0.238
100445,0.226
100446,0.248
100447,0.13
100450,0.208
100466,0.188
100483,0.162
100484,0.21
100494,0.252
100510,0.214
100512,0.184
100517,0.228
100548,0.166
100551,0.15
100552,0.258
100553,0.19
100561,0.258
100568,0.37
100569,0.188
100591,0.222
100592,0.122
100602,0.19
100607,0.224
100613,0.234
100617,0.282
100618,0.298
100622,0.276
100625,0.298
100677,0.294
100699,0.178
100702,0.356
100711,0.23
100729,0.24
100740,0.3
100744,0.284
100745,0.234
100747,0.272
100751,0.336
100752,0.234
100753,0.274
100754,0.25
100760,0.26
100762,0.24
100763,0.23
100765,0.176
100770,0.244
100772,0.224
100777,0.224
100791,0.192
100792,0.178
100797,0.188
100823,0.194
100826,0.176
100830,0.172
100836,0.358
100872,0.286
100910,0.204
100913,0.296
100918,0.262
100931,0.142
100952,0.232
100953,0.178
100965,0.364
100970,0.142
100982,0.286
100983,0.332
100984,0.212
100987,0.226
100997,0.204
100998,0.32
101002,0.252
101005,0.322
101008,0.318
101020,0.214
101021,0.242
101024,0.284
101025,0.312
101026,0.224
101031,0.134
101041,0.188
101051,0.13
101055,0.204
101056,0.39
101057,0.186
101064,0.156
101079,0.278
101087,0.228
101090,0.166
101092,0.29
101097,0.272
101099,0.14
101107,0.306
101118,0.294
101125,0.204
101126,0.182
101128,0.24
101136,0.244
101140,0.324
101149,0.192
101160,0.172
101169,0.288
101181,0.264
101186,0.204
101190,0.258
101193,0.278
101194,0.272
101198,0.24
101200,0.17
101204,0.212
101211,0.226
101213,0.246
101223,0.172
101225,0.264
101237,0.252
101243,0.17
101244,0.292
101258,0.166
101259,0.282
101268,0.258
101269,0.212
101271,0.314
101279,0.188
101281,0.23
101287,0.196
101292,0.166
101294,0.19
101296,0.266
101297,0.182
101299,0.22
101301,0.186
101305,0.224
101308,0.234
101318,0.122
101327,0.318
101329,0.164
101332,0.206
101337,0.232
101343,0.214
101345,0.178
101346,0.172
101353,0.13
101354,0.282
101355,0.272
101356,0.154
101362,0.206
101363,0.342
101365,0.17
101366,0.234
101367,0.262
101368,0.16
101374,0.262
101380,0.188
101383,0.142
101398,0.176
101399,0.4
101401,0.288
101412,0.24
101426,0.274
101427,0.382
101428,0.286
101429,0.252
101434,0.258
101440,0.234
101448,0.26
101449,0.194
101465,0.242
101467,0.22
101472,0.234
101478,0.248
101497,0.238
101504,0.274
101547,0.248
101548,0.278
101555,0.278
101570,0.208
101572,0.302
101578,0.26
101580,0.284
101588,0.278
101602,0.204
101610,0.25
101614,0.202
101616,0.242
101643,0.254
101644,0.224
101649,0.254
101650,0.216
101665,0.104
101667,0.222
101669,0.148
101674,0.21
101675,0.118
101678,0.272
101682,0.218
101686,0.224
101697,0.342
101700,0.354
101711,0.156
101714,0.114
101715,0.332
101728,0.244
101732,0.158
101757,0.2
101758,0.198
101759,0.23
101762,0.174
101764,0.168
101780,0.39
101784,0.182
101789,0.174
101816,0.222
101819,0.232
101827,0.116
101863,0.21
101867,0.246
101870,0.178
101873,0.382
101878,0.286
101879,0.24
101880,0.166
101887,0.198
101897,0.226
101901,0.232
101903,0.288
101920,0.188
101921,0.19
101922,0.214
101961,0.282
101962,0.186
101971,0.2
101976,0.244
102002,0.294
102005,0.168
102007,0.414
102017,0.174
102019,0.324
102029,0.216
102051,0.316
102052,0.148
102054,0.176
102062,0.218
102067,0.308
102068,0.226
102070,0.218
102090,0.228
102092,0.198
102099,0.246
102100,0.208
102112,0.23
102113,0.202
102122,0.318
102123,0.224
102125,0.21
102126,0.35
102146,0.206
102147,0.336
102151,0.184
102158,0.294
102159,0.192
102162,0.246
102165,0.166
102166,0.15
102174,0.194
102193,0.318
102198,0.174
102205,0.256
102206,0.184
102218,0.224
102221,0.192
102230,0.194
102238,0.238
102248,0.184
102252,0.374
102259,0.204
102262,0.286
102273,0.152
102286,0.258
102293,0.148
102294,0.18
102296,0.222
102298,0.274
102303,0.184
102309,0.29
102315,0.21
102340,0.166
102342,0.232
102344,0.194
102346,0.22
102347,0.142
102374,0.31
102380,0.2
102387,0.214
102393,0.164
102403,0.176
102413,0.204
102414,0.196
102415,0.194
102416,0.222
102439,0.224
102441,0.186
102443,0.176
102444,0.266
102445,0.298
102448,0.23
102449,0.204
102450,0.312
102456,0.146
102458,0.266
102459,0.226
102465,0.218
102470,0.29
102471,0.188
102475,0.256
102476,0.286
102506,0.24
102509,0.162
102519,0.172
102522,0.196
102545,0.204
102549,0.178
102562,0.15
102563,0.196
102568,0.242
102582,0.206
102592,0.164
102597,0.288
102605,0.192
102614,0.204
102617,0.246
102634,0.222
102652,0.214
102655,0.134
102671,0.156
102694,0.238
102701,0.208
102703,0.16
102704,0.15
102713,0.18
102720,0.278
102731,0.198
102733,0.202
102749,0.246
102755,0.212
102763,0.206
102770,0.208
102772,0.232
102799,0.318
102838,0.202
102854,0.13
102862,0.236
102863,0.2
102867,0.224
102868,0.192
102878,0.174
102887,0.204
102898,0.314
102904,0.206
102912,0.242
